epoch,loss,val_loss,train_time,time
0,0.05777240189518167,0.059248919566643646,1.600238561630249,04/11/2020 16:49:18
1,0.05777240266472521,0.059248919566643646,0.8035159111022949,04/11/2020 16:49:18
2,0.05777240077584562,0.059248919566643646,0.7630002498626709,04/11/2020 16:49:18
3,0.05777240177775133,0.059248919566643646,0.6929998397827148,04/11/2020 16:49:18
4,0.05777240186769798,0.059248919566643646,0.684999942779541,04/11/2020 16:49:18
5,0.05777239969398734,0.059248919566643646,0.6360001564025879,04/11/2020 16:49:18
6,0.05777240193515796,0.059248919566643646,0.6519992351531982,04/11/2020 16:49:18
7,0.057772402549793385,0.059248919566643646,0.6480004787445068,04/11/2020 16:49:18
8,0.05777240213254088,0.059248919566643646,0.6189994812011719,04/11/2020 16:49:18
9,0.05777240277216148,0.059248919566643646,0.616999626159668,04/11/2020 16:49:18
10,0.057772403536707984,0.059248919566643646,0.646000862121582,04/11/2020 16:49:18
